sentence,review
 اللہ آپ کا بھلا کرے ۔ یہی حضرت ہیں ۔آج بھی اسی حلیے میں تھے ۔ یہ فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا ان صاحب کے کپڑے ,negative
کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ۔ ساتھ ٹائم لازم لکھنا,positive
بریکنگ :- کراچی:ملزم سلیم کو پولیس گرفتارنہیں کرسکی،پولیس ذرائع,negative
 طریقه تو غلط هے اوربدعت هے مگر طلاق پڑتی هے ,negative
کھجور اور بلغم : بلغمی مزاج کے لوگ اگر دن میں پانچ کھجوریں کھائیں تو بلغم ختم ہوجاتی ہے ۔,positive
دنیا گول هے چندے سے چندے تک کا سفر۔۔۔۔چندے سے انقلاب,positive
اللہ جانے وے ماہی تیرا پیار کی اے دل دی اوداسی نی جاندی ,positive
محرم الحرام کا چاند نظر آ گیا، یوم عاشورہ چار نومبر کو ہوگا,positive
: ایم کیو ایم کو منانے کی کوئی کوشش نہیں کی،رحمان ملک گویا اس بار خود ہی ذلیل ہو کہ واپس آ جاویں گے جیسے طاھر کینیڈوی ذلیل و رسوا ہو کہ آ گئے ,positive
افسوس صد افسوس 6 ماہ کا ایان بھی چل بسا ,negative
خاتو ن جج کو کمرہ عدالت میں کرکٹ سیکھنی پڑگئی ,positive
سلیکٹرز ۔۔۔ یونس خان کی جانب سے ایک اور سینچری ,positive
ظلم آ سدھو سانوو ,negative
 کبھی کبھی یوز کرتا ھوں ,positive
ہ نئی احتیاط دیکھی ہے آئینے سے حجاب کرتے ہوایک دن نہ عدم جو پی تو کیاروز شغل شراب کرتے ہوعبدالحمید عدم,negative
 اپنے باپ شوبازشریف کو بول پہلے وہ پنجاب کو بچالے اور تو اپنی بجلی پر توجہ دے ۔ ماما نا بن خیبر پختونخواہ کا۔جعلی معزز بهڑوے سالے ,negative
اسلام آباد میں محرم الحرام کا چاند نظر آ گیا۔ نیا اسلامی سال مبارک ہو۔ ہم سب کے لیے برکت اور آسانی کا باعث بنے ۔آ مین,positive
دانستہ چھوڑ جاؤں گا میدان ، اور تُمہارے ہوئے رہو گے ، اگر جیت بھی گئے ,positive
افغانستان: آخری امریکی اور برطانوی دستوں کا آپریشن ختم کرنے کا فیصلہ ,positive
